id,name,symbol,slug,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,tags,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
74,Dogecoin,DOGE,dogecoin,118473637893.907,118473637893.907,,2013-12-15T00:00:00.000Z,316,['mineable'],,25,2019-03-02T01:54:03.000Z,0.00199223438358,19037370.3105637,-0.05344,0.314816,-2.99174,236027254.96004796
3408,USD Coin,USDC,usd-coin,231194747.344029,231545749.25,,2018-10-08T00:00:00.000Z,124,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",26,2019-03-02T01:54:07.000Z,1.01417281256,21152341.391556,0.190549,0.0228449,0.16778,234471427.1629925
2083,Bitcoin Gold,BTG,bitcoin-gold,17413923.588994,17513923.588994,21000000.0,2017-10-23T00:00:00.000Z,74,['mineable'],,27,2019-03-02T01:54:03.000Z,12.6798516253,9919935.91320306,-0.193939,0.0929795,0.628174,220805967.32275558
2563,TrueUSD,TUSD,trueusd,203002879.72,203002879.72,,2018-03-06T00:00:00.000Z,146,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0000000000085d4780B73119b644AE5ecd22b376'}",28,2019-03-02T01:54:05.000Z,1.01324024862,43872193.3558986,0.0221202,-0.110391,-0.107208,205690688.31806877
1697,Basic Attention Token,BAT,basic-attention-token,1240066786.84718,1500000000.0,,2017-06-01T00:00:00.000Z,71,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0d8775f648430679a709e98d2b0cb6250d2887ef'}",29,2019-03-02T01:54:02.000Z,0.165470112549,7717533.97027165,0.0421373,0.678264,21.0826,205193990.78787965
1684,Qtum,QTUM,qtum,89292392.0,101292392.0,,2017-05-24T00:00:00.000Z,146,[],,30,2019-03-02T01:54:03.000Z,2.1351900107,187585992.238467,-0.148664,1.12543,-2.40998,190656223.4299086
1808,OmiseGO,OMG,omisego,140245398.245133,140245398.245133,,2017-07-14T00:00:00.000Z,149,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd26114cd6EE289AccF82350c8d8487fedB8A0C07'}",31,2019-03-02T01:54:03.000Z,1.33739324486,36351623.4176015,-0.145344,1.34661,2.74534,187563248.2357414
1168,Decred,DCR,decred,9397367.3588954,9397367.3588954,21000000.0,2016-02-10T00:00:00.000Z,32,['mineable'],,32,2019-03-02T01:54:02.000Z,16.7539600016,1411414.88514876,0.351539,0.267495,-2.89397,157443116.85127497
1975,Chainlink,LINK,chainlink,350000000.0,1000000000.0,,2017-09-20T00:00:00.000Z,35,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",33,2019-03-02T01:54:03.000Z,0.430505769805,3477701.31468751,-0.0655941,0.630436,-4.35703,150677019.43175
1896,0x,ZRX,0x,584232721.801323,1000000000.0,,2017-08-16T00:00:00.000Z,125,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe41d2489571d322189246dafa5ebde1f4699f498'}",34,2019-03-02T01:54:03.000Z,0.251682756574,9900568.45995469,1.0802,0.755126,0.856131,147041301.90368786
