,state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
555,OR,Coos County,30951,14401,15354,1196,48.4,west
556,NH,Sullivan County,22614,13249,9169,196,59.1,east
557,NH,Strafford County,63549,37990,25021,538,60.29,east
558,MI,Saginaw County,104090,60276,42225,1589,58.8,east
559,WI,Richland County,8450,5041,3298,111,60.45,east
560,WI,Ozaukee County,53365,20579,32172,614,39.01,east
561,WI,Washington County,74411,25719,47729,963,35.02,east
562,IA,Winnebago County,6082,3254,2730,98,54.38,west
563,IA,Kossuth County,9097,4625,4329,143,51.65,west
564,IA,Dickinson County,9906,4625,5162,119,47.26,west
565,IA,Emmet County,5015,2570,2373,72,51.99,west
566,IA,Worth County,4257,2567,1612,78,61.42,west
567,IA,Osceola County,3127,1037,2027,63,33.84,west
568,WY,Niobrara County,1293,244,1017,32,19.35,west
569,IA,Mitchell County,5766,3179,2469,118,56.28,west
570,IA,Lyon County,6217,1675,4471,71,27.25,west
571,IA,Howard County,4728,2941,1722,65,63.07,west
572,IA,Allamakee County,7059,3971,2965,123,57.25,west
573,IA,Winneshiek County,11280,6829,4273,178,61.51,west
574,SD,Lincoln County,20767,8642,11803,322,42.27,west
575,WY,Converse County,6451,1380,4922,149,21.9,west
576,SD,Charles Mix County,3978,1807,2109,62,46.14,west
577,SD,Turner County,4352,1681,2538,133,39.85,west
578,SD,Hutchinson County,3608,1242,2285,81,35.21,west
579,WY,Natrona County,33267,10475,21906,886,32.35,west
580,SD,Douglas County,1756,424,1293,39,24.7,west
581,SD,Gregory County,2247,771,1423,53,35.14,west
582,SD,Fall River County,3809,1338,2348,123,36.3,west
583,MI,Muskegon County,84271,53821,29145,1305,64.88,east
584,MI,Montcalm County,27051,13208,13291,552,49.85,east
585,WY,Sublette County,4356,936,3316,104,22.02,west
586,MI,Gratiot County,17738,9105,8322,311,52.24,east
587,WI,Crawford County,7981,4987,2830,164,63.8,east
588,NY,Cayuga County,34022,18128,15243,651,54.32,east
589,NY,Saratoga County,111387,56645,52855,1887,51.73,east
590,SD,Bennett County,1208,557,614,37,47.57,west
591,SD,Todd County,2828,2208,571,49,79.45,west
592,NY,Orleans County,16584,6614,9708,262,40.52,east
593,NY,Niagara County,95272,47303,46348,1621,50.51,east
594,NY,Monroe County,356424,207371,144262,4791,58.98,east
595,NY,Wayne County,41045,18184,22239,622,44.98,east
596,MI,Lapeer County,45362,21457,22831,1074,48.45,east
597,WY,Lincoln County,8568,1823,6485,260,21.94,west
598,VT,Bennington County,19129,12524,6133,472,67.13,east
599,WI,Dane County,282939,205984,73065,3890,73.82,east
600,MI,Kent County,303235,149909,148336,4990,50.26,east
601,NY,Fulton County,21824,9695,11709,420,45.29,east
602,NH,Rockingham County,167093,83723,81917,1453,50.55,east
603,NY,Onondaga County,218239,129317,84972,3950,60.34,east
604,VT,Windham County,24081,17585,5997,499,74.57,east
605,IA,Sioux County,16664,3030,13490,144,18.34,west
606,IA,O'Brien County,7333,2338,4894,101,32.33,west
607,IA,Cerro Gordo County,24140,14405,9375,360,60.57,west
608,IA,Hancock County,5930,2805,3016,109,48.19,west
609,IA,Palo Alto County,4806,2428,2294,84,51.42,west
610,IA,Clay County,8398,3925,4355,118,47.4,west
611,MI,Genesee County,219896,143927,72451,3518,66.51,east
612,IA,Chickasaw County,6583,3923,2557,103,60.54,west
613,IA,Floyd County,8091,4822,3051,218,61.25,west
614,WI,Iowa County,11969,7987,3829,153,67.6,east
615,WI,Grant County,24320,14875,9068,377,62.12,east
616,NH,Hillsborough County,203799,104820,97178,1801,51.89,east
617,MI,Ottawa County,136268,50828,83330,2110,37.89,east
618,ID,Lincoln County,1870,545,1232,93,30.67,west
619,ID,Gooding County,5391,1489,3765,137,28.34,west
620,WI,Jefferson County,43166,21448,21096,622,50.42,east
621,ID,Minidoka County,6890,1630,5087,173,24.27,west
622,WI,Waukesha County,232897,85339,145152,2406,37.03,east
623,WI,Milwaukee County,475192,319819,149445,5928,68.15,east
624,NY,Madison County,29802,14692,14434,676,50.45,east
625,NH,Cheshire County,42601,26971,15205,425,63.95,east
626,SD,Yankton County,10134,4838,5039,257,48.98,west
627,MI,Saint Clair County,80900,40677,38536,1687,51.35,east
628,SD,Bon Homme County,3175,1367,1712,96,44.4,west
629,MI,Shiawassee County,36415,19397,16268,750,54.39,east
