,state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
946,OH,Medina County,90451,40924,48189,1338,45.89,east
947,IN,Allen County,150324,71263,77793,1268,47.78,east
948,OH,Seneca County,27449,13087,13823,539,48.62,east
949,PA,Clearfield County,33813,14555,18662,596,43.82,east
950,UT,Summit County,16809,9532,6956,321,57.81,west
951,PA,Centre County,75763,41950,32992,821,55.97,east
952,PA,Monroe County,68443,39453,28293,697,58.23,east
953,OH,Paulding County,9769,4165,5317,287,43.92,east
954,IL,Stark County,2907,1357,1513,37,47.28,east
955,NE,Deuel County,993,243,732,18,24.92,west
956,IN,Newton County,6045,2625,3301,119,44.29,east
957,NJ,Passaic County,187395,113257,72552,1586,60.95,east
958,NE,Sarpy County,68022,28010,38816,1196,41.92,west
959,CA,Lassen County,11387,3586,7483,318,32.41,west
960,CA,Shasta County,80390,28867,49588,1935,36.78,west
961,PA,Northumberland County,33939,14329,19018,592,42.97,east
962,IN,Fulton County,9006,3702,5147,157,41.81,east
963,NE,Hamilton County,4799,1332,3389,78,28.22,west
964,IN,Pulaski County,5964,2466,3388,110,42.1,east
965,PA,Montour County,8023,3364,4574,85,42.38,east
966,PA,Butler County,90425,32260,57074,1091,36.11,east
967,PA,Armstrong County,30081,11138,18542,401,37.53,east
968,OH,Hancock County,36981,13870,22420,691,38.23,east
969,OH,Putnam County,18680,5281,13072,327,28.79,east
970,IA,Jefferson County,8631,5070,3324,237,60.4,west
971,IA,Henry County,9377,4349,4822,206,47.42,west
972,IA,Wapello County,15931,8820,6663,448,56.97,west
973,IA,Clarke County,4443,2218,2118,107,51.15,west
974,IA,Lucas County,4471,2029,2330,112,46.55,west
975,IA,Monroe County,3873,1798,2000,75,47.34,west
976,IA,Mills County,7282,2976,4183,123,41.57,west
977,IA,Montgomery County,5287,2326,2887,74,44.61,west
978,IA,Adams County,2206,1118,1046,42,51.66,west
979,IA,Union County,5909,3000,2781,128,51.9,west
980,UT,Davis County,110902,30477,77341,3084,28.27,west
981,IL,Knox County,23988,14191,9419,378,60.1,east
982,PA,Union County,17400,7333,9859,208,42.65,east
983,IL,Marshall County,6333,3081,3145,107,49.49,east
984,NJ,Bergen County,414733,225367,186118,3248,54.77,east
985,OH,Mahoning County,127032,79173,45319,2540,63.57,east
986,PA,Carbon County,26923,13464,12957,502,50.96,east
987,PA,Lawrence County,42103,19711,21851,541,47.43,east
988,IL,Livingston County,15625,6189,9191,245,40.24,east
989,NJ,Warren County,48939,20628,27500,811,42.86,east
990,NJ,Morris County,246916,112275,132331,2310,45.9,east
991,UT,Tooele County,17337,5830,10998,509,34.65,west
992,IA,Des Moines County,20570,12462,7721,387,61.74,west
993,IL,Henderson County,3814,2215,1541,58,58.98,east
994,IL,Warren County,8029,4286,3637,106,54.09,east
995,OH,Ashland County,25168,9300,15158,710,38.07,east
996,NE,Cass County,12122,4753,7120,249,40.03,west
997,NE,York County,6568,1607,4848,113,24.9,west
998,NE,Hall County,21271,7855,12977,439,37.71,west
999,NE,Dawson County,7986,2399,5460,127,30.53,west
1000,NE,Buffalo County,19293,5867,13097,329,30.94,west
1001,NE,Seward County,7529,2703,4647,179,36.78,west
1002,NE,Lancaster County,127490,65734,59398,2358,52.53,west
1003,IN,Wabash County,13871,5456,8238,177,39.82,east
1004,IL,Iroquois County,13596,4643,8695,258,34.81,east
1005,IN,Huntington County,16328,5843,10291,194,36.23,east
1006,CO,Weld County,105866,47292,56526,2048,45.57,west
1007,NE,Perkins County,1420,310,1092,18,22.11,west
1008,CO,Routt County,13199,8270,4725,204,63.65,west
1009,CO,Jackson County,913,277,624,12,30.7,west
1010,CO,Moffat County,5871,1582,4135,154,27.72,west
1011,CO,Logan County,8977,2846,6002,129,32.15,west
1012,CO,Sedgwick County,1351,468,857,26,35.31,west
1013,UT,Daggett County,439,131,297,11,30.61,west
1014,NV,Eureka County,728,144,564,20,20.35,west
1015,NV,Lander County,2081,577,1466,38,28.24,west
1016,CO,Larimer County,166373,89822,73641,2910,54.93,west
1017,IN,Miami County,14113,5564,8312,237,40.08,east
1018,OH,Crawford County,21173,8288,12316,569,40.18,east
1019,IL,Ford County,6386,2227,4079,80,35.31,east
1020,OH,Richland County,61122,25727,34034,1361,43.05,east
1021,OH,Wyandot County,10977,4461,6270,246,41.56,east
1022,OH,Wayne County,52142,21712,29342,1088,42.49,east
1023,OH,Van Wert County,14652,5178,9168,306,36.06,east
1024,OH,Stark County,187545,96990,86743,3812,52.76,east
1025,IL,Peoria County,81704,45906,34579,1219,57.04,east
1026,PA,Northampton County,135587,75255,58551,1781,56.24,east
1027,NV,Pershing County,1801,673,1075,53,38.52,west
1028,PA,Schuylkill County,63057,28300,33767,990,45.6,east
1029,OH,Columbiana County,48487,21882,25585,1020,46.07,east
1030,IL,Woodford County,19483,6999,12191,293,36.47,east
1031,IN,Adams County,13513,4928,8404,181,36.98,east
1032,OH,Allen County,50263,19522,29940,801,39.43,east
1033,UT,Salt Lake County,363749,176988,176692,10069,50.04,west
1034,NY,Bronx County,381322,338261,41683,1378,89.03,east
1035,IN,Wells County,13073,4403,8504,166,34.11,east
1036,NY,Nassau County,635618,342185,288776,4657,54.24,east
1037,IN,White County,10767,4839,5731,197,45.77,east
1038,IN,Cass County,15653,7011,8346,296,45.67,east
1039,PA,Indiana County,37302,17065,19727,510,46.39,east
1040,NJ,Essex County,316183,240306,74063,1814,76.44,east
1041,IA,Fremont County,3894,1848,1989,57,48.16,west
1042,IA,Page County,7356,2900,4351,105,39.99,west
1043,IA,Taylor County,3026,1347,1607,72,45.6,west
1044,IA,Van Buren County,3608,1546,1986,76,43.77,west
1045,IA,Davis County,3815,1680,2029,106,45.3,west
1046,IA,Ringgold County,2689,1236,1401,52,46.87,west
1047,IA,Decatur County,4102,1986,2020,96,49.58,west
1048,IA,Wayne County,2980,1357,1565,58,46.44,west
1049,IA,Appanoose County,6176,2970,3086,120,49.04,west
1050,PA,Snyder County,15479,5382,9900,197,35.22,east
1051,NY,New York County,667594,572126,89906,5562,86.42,east
1052,UT,Uintah County,10151,1462,8441,248,14.76,west
1053,PA,Beaver County,84488,40499,42895,1094,48.56,east
1054,PA,Mifflin County,16502,5375,10929,198,32.97,east
1055,UT,Duchesne County,5744,911,4689,144,16.27,west
1056,OH,Hardin County,13114,5013,7749,352,39.26,east
1057,NJ,Hudson County,211312,154140,55360,1812,73.57,east
1058,IA,Lee County,17224,9821,7062,341,58.17,west
1059,NY,Queens County,640137,480692,155221,4224,75.59,east
1060,NJ,Hunterdon County,69849,29776,39092,981,43.24,east
1061,PA,Lehigh County,152473,87089,63382,2002,57.88,east
1062,NE,Otoe County,7092,2915,4033,144,41.95,west
1063,NJ,Somerset County,151078,79321,70085,1672,53.09,east
1064,IL,McLean County,75750,37689,36767,1294,50.62,east
1065,CO,Phillips County,2260,622,1612,26,27.83,west
1066,IL,Tazewell County,63854,29384,33247,1223,46.92,east
1067,PA,Huntingdon County,18632,6621,11745,266,36.05,east
1068,PA,Blair County,53102,19813,32708,581,37.72,east
1069,NY,Kings County,759848,603525,151872,4451,79.89,east
1070,IN,Benton County,3814,1563,2183,68,41.75,east
1071,NJ,Union County,222097,141417,78768,1912,64.22,east
1072,IN,Carroll County,8736,3736,4858,142,43.5,east
1073,OH,Carroll County,13953,6423,7097,433,47.47,east
1074,OH,Mercer County,21271,5853,15100,318,27.92,east
1075,PA,Cambria County,65670,32451,31995,1224,50.36,east
1076,IL,Fulton County,16323,9732,6251,340,60.89,east
1077,OH,Morrow County,16643,6177,10067,399,38.01,east
1078,OH,Marion County,29017,12870,15454,693,45.45,east
1079,NE,Frontier County,1404,349,1034,21,25.24,west
1080,NE,Adams County,13210,4685,8252,273,36.22,west
1081,NE,Gosper County,1048,260,776,12,25.1,west
1082,NE,Hayes County,553,85,461,7,15.57,west
1083,NE,Chase County,1844,341,1477,26,18.75,west
1084,NE,Fillmore County,2947,962,1913,72,33.46,west
1085,NE,Saline County,5251,2674,2434,143,52.35,west
1086,NE,Clay County,3033,780,2177,76,26.38,west
1087,PA,Juniata County,9711,3068,6484,159,32.12,east
1088,UT,Wasatch County,8531,2892,5430,209,34.75,west
1089,NE,Kearney County,3150,876,2224,50,28.26,west
1090,OH,Auglaize County,23486,6727,16395,364,29.07,east
1091,NE,Phelps County,4473,1050,3360,63,23.81,west
1092,PA,Westmoreland County,176873,72721,102294,1858,41.55,east
1093,PA,Berks County,180000,97047,80513,2440,54.66,east
1094,PA,Allegheny County,651436,373153,272347,5936,57.81,east
1095,OH,Holmes County,11113,3141,7720,252,28.94,east
1096,OH,Tuscarawas County,42950,21498,20454,998,51.28,east
1097,PA,Dauphin County,129529,69975,58238,1316,54.58,east
1098,IN,Grant County,26299,11293,14734,272,43.38,east
1099,NY,Richmond County,166578,79311,86062,1205,47.96,east
1100,IL,Hancock County,9469,4141,5161,167,44.52,east
1101,WV,Hancock County,13220,5504,7518,198,42.26,east
1102,IL,McDonough County,13042,6783,6055,204,52.83,east
1103,PA,Perry County,19745,6396,13058,291,32.88,east
1104,MO,Clark County,3456,1572,1782,102,46.87,west
1105,PA,Bucks County,332924,179031,150248,3645,54.37,east
1106,NJ,Middlesex County,321015,193812,123695,3508,61.04,east
1107,MO,Scotland County,2098,793,1249,56,38.84,west
1108,OH,Jefferson County,35939,17635,17559,745,50.1,east
1109,MO,Schuyler County,1983,775,1139,69,40.49,west
1110,MO,Putnam County,2339,695,1591,53,30.4,west
1111,MO,Atchison County,2976,1000,1936,40,34.06,west
1112,MO,Mercer County,1748,519,1169,60,30.74,west
1113,MO,Nodaway County,10219,4493,5568,158,44.66,west
1114,UT,Utah County,157279,29567,122224,5488,19.48,west
1115,MO,Harrison County,3915,1287,2512,116,33.88,west
1116,OH,Knox County,28231,11014,16640,577,39.84,east
1117,IN,Jay County,8315,3748,4401,166,46.02,east
1118,MO,Worth County,1174,427,707,40,37.65,west
1119,IN,Blackford County,5441,2677,2690,74,49.9,east
1120,IN,Howard County,38624,17871,20248,505,46.91,east
1121,IN,Tippecanoe County,68436,37781,29822,833,55.87,east
1122,NE,Nemaha County,3474,1240,2134,100,36.75,west
1123,PA,Lebanon County,58297,23310,34314,673,40.45,east
1124,OH,Logan County,22217,7936,13848,433,36.43,east
1125,CO,Morgan County,10234,3813,6272,149,37.83,west
1126,NE,Gage County,10160,4473,5435,252,45.15,west
1127,NE,Johnson County,2110,914,1142,54,44.46,west
1128,OH,Union County,24928,8761,15744,423,35.71,east
1129,IL,Vermilion County,32872,16246,16054,572,50.3,east
1130,CO,Grand County,8308,4037,4128,143,49.44,west
1131,OH,Shelby County,23668,7317,15924,427,31.47,east
1132,PA,Washington County,98047,46122,50752,1173,47.61,east
1133,IN,Warren County,3998,1755,2166,77,44.75,east
1134,NJ,Monmouth County,312616,148737,160433,3446,48.11,east
1135,OH,Coshocton County,16863,7689,8675,499,47.01,east
1136,PA,Montgomery County,422419,253393,165552,3474,60.49,east
1137,CA,Tehama County,24436,8945,14843,648,37.62,west
1138,CA,Plumas County,11028,4715,6035,278,43.9,west
1139,OH,Delaware County,92416,36653,54778,985,40.1,east
1140,CO,Yuma County,4483,1117,3286,80,25.36,west
1141,CO,Washington County,2513,529,1949,35,21.38,west
1142,IL,Mason County,6808,3542,3141,125,53.0,east
1143,OH,Harrison County,7787,3683,3872,232,48.76,east
1144,IN,Clinton County,12392,5307,6919,166,43.41,east
1145,NJ,Mercer County,160039,107926,50223,1890,68.25,east
1146,IN,Tipton County,7827,3250,4452,125,42.17,east
1147,WV,Brooke County,9855,4717,4961,177,48.74,east
1148,IL,Champaign County,84143,48597,33871,1675,58.93,east
1149,MO,Sullivan County,2869,1173,1607,89,42.2,west
1150,MO,Gentry County,3292,1235,1964,93,38.61,west
1151,IN,Madison County,57340,30152,26403,785,53.29,east
1152,IN,Delaware County,49863,28384,20916,563,57.53,east
1153,IN,Fountain County,7410,3094,4158,158,42.7,east
1154,OH,Darke County,25793,7964,17290,539,31.56,east
1155,NE,Webster County,1817,552,1233,32,30.92,west
1156,NE,Franklin County,1552,442,1079,31,29.06,west
1157,NE,Nuckolls County,2221,657,1498,66,30.49,west
1158,NE,Dundy County,1019,218,783,18,21.78,west
1159,NE,Furnas County,2328,556,1725,47,24.37,west
1160,NE,Thayer County,2659,860,1749,50,32.96,west
1161,NE,Jefferson County,3697,1520,2103,74,41.95,west
1162,NE,Red Willow County,5044,1216,3735,93,24.56,west
1163,NE,Hitchcock County,1379,346,1001,32,25.69,west
1164,NE,Harlan County,1766,402,1329,35,23.22,west
1165,MO,Adair County,11871,5735,5891,245,49.33,west
1166,PA,Cumberland County,113304,48306,63739,1259,43.11,east
1167,IL,Logan County,12896,5250,7429,217,41.41,east
1168,PA,Bedford County,22443,6059,16124,260,27.32,east
1169,PA,Lancaster County,228137,99586,126568,1983,44.03,east
1170,IN,Randolph County,10808,4839,5788,181,45.53,east
1171,MO,Knox County,2024,759,1212,53,38.51,west
1172,PA,Franklin County,63641,21169,41906,566,33.56,east
1173,PA,Somerset County,35168,12878,21686,604,37.26,east
1174,IL,De Witt County,7801,3308,4348,145,43.2,east
1175,IL,Schuyler County,3823,1900,1833,90,50.9,east
1176,IL,Piatt County,8999,3859,4991,149,43.6,east
1177,OH,Champaign County,18887,7385,11141,361,39.86,east
1178,MO,Grundy County,4740,1580,3006,154,34.45,west
1179,CO,Boulder County,171763,124159,44904,2700,73.48,west
1180,NE,Pawnee County,1384,483,859,42,35.99,west
1181,NE,Richardson County,3968,1513,2342,113,39.25,west
1182,MO,Holt County,2633,802,1794,37,30.89,west
1183,MO,Lewis County,4502,1837,2594,71,41.45,west
1184,PA,Chester County,254354,137833,114421,2100,54.64,east
1185,PA,York County,194210,82839,109268,2103,43.12,east
1186,CO,Rio Blanco County,3147,655,2437,55,21.18,west
1187,OH,Guernsey County,17325,7625,9197,503,45.31,east
1188,IN,Hamilton County,129064,49704,78401,959,38.77,east
1189,IN,Montgomery County,15285,6013,9060,212,39.86,east
1190,IL,Adams County,30823,11794,18711,318,38.66,east
1191,OH,Miami County,52807,18372,33417,1018,35.47,east
1192,WV,Ohio County,19540,8593,10694,253,44.55,east
1193,NJ,Burlington County,223174,131219,89626,2329,59.42,east
1194,IN,Boone County,26647,9752,16622,273,36.97,east
1195,OH,Belmont County,32411,16302,15422,687,51.38,east
1196,NJ,Ocean County,274298,110189,160677,3432,40.68,east
1197,OH,Muskingum County,39071,17730,20549,792,46.33,east
1198,PA,Fulton County,6306,1576,4642,88,25.34,east
1199,IL,Menard County,6464,2706,3672,86,42.42,east
1200,CA,Butte County,98325,49013,46706,2606,51.18,west
1201,IN,Vermillion County,7135,4003,3010,122,57.07,east
1202,PA,Fayette County,52560,25866,26081,613,49.79,east
1203,PA,Philadelphia County,717329,595980,117221,4128,83.56,east
1204,MO,Daviess County,3786,1400,2263,123,38.22,west
1205,MO,Andrew County,8790,3345,5279,166,38.78,west
1206,NV,White Pine County,3773,1230,2440,103,33.5,west
1207,IL,Cass County,5408,2690,2617,101,50.69,east
1208,IL,Brown County,2569,986,1544,39,38.97,east
1209,CO,Garfield County,23082,11357,11359,366,50.0,west
1210,IN,Henry County,21319,10059,10896,364,48.02,east
1211,PA,Adams County,44491,17633,26349,509,40.09,east
1212,PA,Delaware County,297004,178870,115273,2861,60.81,east
1213,IL,Macon County,51216,25487,24948,781,50.53,east
1214,CO,Broomfield County,29453,16168,12757,528,55.91,west
1215,MO,Macon County,7474,2784,4586,104,37.78,west
1216,OH,Clark County,66770,31958,33634,1178,48.73,east
1217,MO,Linn County,5931,2638,3140,153,45.66,west
1218,MO,DeKalb County,4683,1692,2889,102,36.94,west
1219,WV,Marshall County,14000,5996,7759,245,43.59,east
1220,PA,Greene County,15976,7829,7889,258,49.81,east
1221,UT,Juab County,3616,741,2683,192,21.64,west
1222,IN,Wayne County,28562,13459,14558,545,48.01,east
1223,KS,Cheyenne County,1498,323,1148,27,21.96,west
1224,KS,Rawlins County,1549,273,1247,29,17.96,west
1225,CA,Mendocino County,40016,27843,10721,1452,72.2,west
1226,KS,Jewell County,1584,313,1231,40,20.27,west
1227,KS,Smith County,2204,446,1719,39,20.6,west
1228,KS,Republic County,2671,640,1978,53,24.45,west
1229,KS,Washington County,2980,659,2248,73,22.67,west
1230,KS,Decatur County,1548,343,1189,16,22.39,west
1231,NV,Churchill County,10494,3494,6832,168,33.84,west
1232,KS,Norton County,2415,497,1878,40,20.93,west
1233,KS,Phillips County,2667,525,2105,37,19.97,west
1234,KS,Marshall County,5036,1784,3157,95,36.1,west
1235,CO,Adams County,160499,93443,63976,3080,59.33,west
1236,KS,Brown County,4376,1317,2985,74,30.62,west
1237,KS,Nemaha County,5359,1432,3817,110,27.28,west
1238,KS,Doniphan County,3564,1115,2372,77,31.98,west
1239,NJ,Camden County,235704,159259,73819,2626,68.33,east
1240,IL,Sangamon County,99828,51300,46945,1583,52.21,east
1241,MO,Livingston County,6552,2435,3993,124,37.88,west
1242,MO,Shelby County,3316,1114,2166,36,33.96,west
1243,IN,Parke County,6964,2924,3909,131,42.81,east
1244,OH,Noble County,6172,2474,3450,248,41.77,east
1245,MO,Marion County,12553,4703,7705,145,37.91,west
1246,IN,Hancock County,34253,11874,22008,371,35.05,east
1247,OH,Fairfield County,71945,29250,41580,1115,41.32,east
1248,CO,Gilpin County,3301,1954,1253,94,60.91,west
1249,OH,Perry County,15404,7261,7721,422,48.46,east
1250,IN,Marion County,379362,241987,134313,3062,64.31,east
1251,CO,Eagle County,21652,13187,8179,286,61.7,west
1252,CO,Summit County,14899,9802,4883,214,66.73,west
1253,IN,Hendricks County,64955,24548,39728,679,38.18,east
1254,OH,Montgomery County,278511,145997,128679,3835,53.14,east
1255,OH,Preble County,21002,6999,13562,441,34.01,east
1256,CO,Jefferson County,295062,158153,131627,5282,54.58,west
1257,CO,Denver County,271533,204882,62567,4084,76.65,west
1258,NJ,Gloucester County,139430,77267,60315,1848,56.16,east
1259,IL,Edgar County,8255,3743,4398,114,45.97,east
1260,IL,Douglas County,8356,3228,5005,123,39.21,east
1261,IL,Morgan County,15353,7467,7591,295,49.59,east
1262,OH,Monroe County,6982,3705,3066,211,54.74,east
1263,IN,Putnam County,14646,6334,8086,226,43.9,east
1264,CO,Clear Creek County,5767,3332,2300,135,59.16,west
1265,OH,Greene County,83589,33540,48936,1113,40.67,east
1266,IL,Pike County,7616,3024,4457,135,40.43,east
1267,DE,New Castle County,256417,178768,74608,3041,70.55,east
1268,IL,Christian County,15100,6918,7872,310,46.77,east
1269,MO,Buchanan County,39040,19164,19110,766,50.07,west
1270,UT,Carbon County,7777,3468,4091,218,45.88,west
1271,UT,Sanpete County,8771,1631,6664,476,19.67,west
1272,OH,Pickaway County,23726,9077,14228,421,38.96,east
1273,CA,Glenn County,9879,3734,5910,235,38.73,west
1274,IL,Moultrie County,6260,2668,3471,121,43.46,east
1275,IN,Fayette County,9462,4389,4917,156,47.15,east
1276,IN,Rush County,7629,3229,4271,129,43.03,east
1277,IL,Scott County,2600,1090,1455,55,42.83,east
1278,MO,Caldwell County,4564,1814,2654,96,40.6,west
1279,NJ,Salem County,31363,16044,14816,503,51.99,east
1280,CA,Sierra County,1991,743,1158,90,39.06,west
1281,OH,Morgan County,6608,2966,3440,202,46.29,east
1282,MO,Clinton County,10454,4545,5709,200,44.33,west
1283,CO,Arapahoe County,266148,148218,113866,4064,56.55,west
1284,NV,Lyon County,20931,8405,12154,372,40.9,west
1285,NJ,Atlantic County,119042,67830,49902,1310,57.61,east
1286,IN,Union County,3348,1224,2061,63,37.27,east
1287,MD,Washington County,61600,26245,34169,1186,43.44,east
1288,MD,Allegany County,29742,10693,18405,644,36.75,east
1289,MD,Garrett County,12872,3736,8903,233,29.55,east
1290,MD,Cecil County,42494,17665,23855,974,42.54,east
1291,WV,Monongalia County,33377,17060,15775,542,51.96,east
1292,WV,Preston County,11794,4205,7325,264,36.47,east
1293,MD,Harford County,123295,48552,71751,2992,40.36,east
1294,WV,Wetzel County,6452,2942,3342,168,46.82,east
1295,MD,Baltimore County,380938,214151,158714,8073,57.44,east
1296,MD,Carroll County,84760,28060,54503,2197,33.99,east
1297,MD,Frederick County,111186,54013,55170,2003,49.47,east
1298,OH,Fayette County,11694,4401,7102,191,38.25,east
1299,UT,Emery County,4448,973,3358,117,22.47,west
1300,MO,Chariton County,4214,1799,2339,76,43.47,west
1301,IN,Shelby County,17574,6987,10333,254,40.37,east
1302,WV,Morgan County,7276,2721,4428,127,38.06,east
1303,MO,Ralls County,5084,2041,2987,56,40.6,west
1304,IL,Coles County,23076,11716,10978,382,51.63,east
1305,MO,Monroe County,4314,1703,2533,78,40.2,west
1306,KS,Cloud County,4451,1233,3121,97,28.32,west
1307,KS,Jackson County,6253,2308,3811,134,37.72,west
1308,KS,Atchison County,7191,3241,3791,159,46.09,west
1309,IL,Shelby County,10868,4245,6396,227,39.89,east
1310,WV,Mineral County,11547,3750,7616,181,32.99,east
1311,OH,Washington County,18802,1238,17019,545,6.8,east
1312,WV,Marion County,23603,11618,11501,484,50.25,east
1313,IN,Johnson County,58644,21553,36487,604,37.17,east
1314,CA,Yuba County,21401,8866,12007,528,42.46,west
1315,IN,Morgan County,28811,10330,18129,352,36.34,east
1316,NV,Storey County,2392,1102,1247,43,46.95,west
1317,WV,Berkeley County,37291,15994,20841,456,43.42,east
1318,MO,Carroll County,4538,1535,2955,48,34.19,west
1319,MO,Randolph County,10624,3984,6457,183,38.16,west
1320,IN,Vigo County,43706,25040,18121,545,58.0,east
1321,IN,Clay County,11395,4954,6267,174,44.16,east
1322,WV,Tyler County,3741,1241,2415,85,33.94,east
1323,MO,Pike County,7881,3487,4268,126,44.96,west
1324,OH,Warren County,106216,33398,71691,1127,31.75,east
1325,CA,Lake County,25542,14854,9935,753,59.94,west
1326,CO,Kit Carson County,3442,912,2455,75,27.1,west
1327,NJ,Cumberland County,58065,34919,22360,786,60.96,east
1328,KS,Rooks County,2588,468,2068,52,18.45,west
1329,KS,Sherman County,2704,688,1959,57,25.99,west
1330,KS,Thomas County,3673,787,2837,49,21.72,west
1331,KS,Osborne County,1930,403,1490,37,21.29,west
1332,KS,Sheridan County,1376,254,1108,14,18.65,west
1333,KS,Clay County,4054,1009,2998,47,25.18,west
1334,KS,Mitchell County,3203,701,2440,62,22.32,west
1335,KS,Graham County,1423,325,1060,38,23.47,west
1336,KS,Riley County,22997,10495,12111,391,46.43,west
1337,CO,Douglas County,151819,61960,88108,1751,41.3,west
1338,CO,Elbert County,13206,3819,9108,279,29.52,west
1339,KS,Pottawatomie County,9837,2599,6929,309,27.28,west
1340,CO,Lincoln County,2304,546,1717,41,24.13,west
1341,CO,Park County,9383,4250,4896,237,46.46,west
1342,UT,Millard County,4739,758,3653,328,17.18,west
1343,WV,Hampshire County,8346,2983,5222,141,36.35,east
1344,MO,Platte County,46480,21495,24460,561,46.74,west
1345,IN,Franklin County,10610,3404,7018,188,32.66,east
1346,MO,Ray County,11053,5241,5593,219,48.38,west
1347,IL,Montgomery County,12871,6491,6150,230,51.35,east
1348,IL,Macoupin County,22373,12090,9891,392,55.0,east
1349,CA,Nevada County,55647,28617,25663,1367,52.72,west
1350,IL,Greene County,5807,2619,3053,135,46.18,east
1351,OH,Ross County,31840,14455,16759,626,46.33,east
1352,WV,Jefferson County,22540,11687,10600,253,52.44,east
1353,UT,Grand County,4077,2067,1871,139,52.49,west
1354,IL,Clark County,8288,3742,4409,137,45.91,east
1355,WV,Pleasants County,2974,1142,1772,60,39.19,east
1356,IN,Owen County,8170,3570,4415,185,44.73,east
1357,WV,Harrison County,31870,13582,17824,464,43.25,east
1358,VA,Frederick County,33612,12961,20149,502,39.14,east
1359,MO,Clay County,109606,53761,54516,1329,49.65,west
1360,IN,Decatur County,10488,3892,6449,147,37.63,east
1361,WV,Taylor County,6203,2462,3605,136,40.58,east
1362,WV,Doddridge County,3018,735,2218,65,24.89,east
1363,KS,Jefferson County,8950,3542,5220,188,40.43,west
1364,KS,Leavenworth County,30587,13255,16791,541,44.12,west
1365,CA,Colusa County,6429,2569,3733,127,40.77,west
1366,MO,Saline County,9848,4712,4962,174,48.71,west
1367,WV,Wood County,35990,12573,22896,521,35.44,east
1368,IL,Calhoun County,2699,1423,1221,55,53.82,east
1369,OH,Vinton County,5646,2463,3021,162,44.9,east
1370,WV,Ritchie County,3845,998,2781,66,26.41,east
1371,MD,Kent County,10020,4953,4905,162,50.24,east
1372,CO,Lake County,3002,1859,1078,65,63.3,west
1373,IL,Cumberland County,5321,2055,3156,110,39.44,east
1374,MD,Baltimore City,245968,214385,28681,2902,88.2,east
1375,MD,Howard County,145233,87120,55393,2720,61.13,east
1376,CO,Mesa County,69631,24008,44578,1045,35.03,west
1377,CO,Pitkin County,9966,7349,2484,133,74.75,west
1378,DE,Kent County,66925,36392,29827,706,54.95,east
1379,IN,Monroe County,63215,41450,21118,647,66.26,east
1380,IN,Bartholomew County,31043,13567,17067,409,44.28,east
1381,MO,Audrain County,10781,4434,6167,180,41.83,west
1382,MD,Montgomery County,439261,314444,118608,6209,72.61,east
1383,IN,Brown County,8055,3854,4060,141,48.68,east
1384,MO,Howard County,4855,2036,2708,111,42.92,west
1385,WV,Grant County,4218,997,3166,55,23.95,east
1386,NJ,Cape May County,50835,22893,27288,654,45.62,east
1387,VA,Loudoun County,139459,74845,63336,1278,54.16,east
1388,CA,Placer County,173107,75112,94647,3348,44.24,west
1389,IN,Ripley County,12188,4187,7794,207,34.96,east
1390,IN,Dearborn County,22217,7123,14886,208,32.39,east
1391,KS,Ottawa County,3086,704,2323,59,23.25,west
1392,CA,Sutter County,32941,13412,18911,618,41.49,west
1393,WV,Barbour County,6232,2419,3685,128,39.63,east
1394,MO,Lafayette County,16600,6902,9442,256,42.23,west
1395,WV,Tucker County,3507,1288,2123,96,37.76,east
1396,OH,Clermont County,95480,31611,62559,1310,33.57,east
1397,VA,Clarke County,7431,3457,3840,134,47.37,east
1398,IL,Jersey County,10583,5042,5329,212,48.62,east
1399,MD,Queen Anne's County,24045,8575,15087,383,36.24,east
1400,IN,Sullivan County,8782,4284,4343,155,49.64,east
1401,CO,Gunnison County,8870,5556,3131,183,63.94,west
1402,OH,Brown County,20113,7503,12192,418,38.1,east
1403,MO,Boone County,85251,47062,36849,1340,56.09,west
1404,NV,Carson City,23463,11623,11419,421,50.41,west
1405,WV,Hardy County,5406,1901,3376,129,36.02,east
1406,MD,Anne Arundel County,259619,125015,129682,4922,49.08,east
1407,MO,Jackson County,339266,210824,124687,3755,62.84,west
1408,MO,Lincoln County,23550,10234,12924,392,44.19,west
1409,KS,Geary County,8094,3491,4492,111,43.73,west
1410,CO,Delta County,15434,5084,10067,283,33.54,west
1411,KS,Lincoln County,1586,347,1204,35,22.37,west
1412,KS,Shawnee County,84177,41235,41476,1466,49.86,west
1413,IL,Fayette County,9680,3967,5499,214,41.91,east
1414,IL,Effingham County,16835,5262,11323,250,31.73,east
1415,KS,Wabaunsee County,3521,1036,2395,90,30.19,west
1416,OH,Jackson County,13993,5397,8219,377,39.67,east
1417,OH,Meigs County,10354,4094,6015,245,40.47,east
1418,VA,Winchester City,10126,5268,4725,133,52.72,east
1419,KS,Wyandotte County,57169,39865,16506,798,70.72,west
1420,OH,Pike County,12506,6033,6162,311,49.44,east
1421,IN,Jennings County,11839,5312,6261,266,45.91,east
1422,WV,Wirt County,2324,782,1496,46,34.33,east
1423,IL,Crawford County,9129,3883,5070,176,43.37,east
1424,IL,Jasper County,5131,2063,2964,104,41.04,east
1425,IN,Greene County,13629,5709,7691,229,42.62,east
1426,WV,Lewis County,6603,2109,4335,159,32.73,east
1427,NV,Nye County,17268,7226,9537,505,43.09,west
